tract_id,median_rent,median_value,median_income,median_year_built,avg_household_size
36047003100,1905,423000,76420,1958,2
36047003300,2266,904100,115509,1949,2
36047003400,1315,589000,69042,1939,2
36047003500,1202,1513900,61450,1939,2
36047003600,1412,370600,73958,1939,2
36047003700,2646,802200,128917,2008,2
36047003800,1479,771200,83056,1939,2
36047003900,1380,1061300,104783,1939,2
36047004100,2044,1678400,134722,1939,2
36047004300,1968,1052600,125938,1939,2
36047004400,1362,950100,87583,1939,2
36047004500,2192,1150300,136484,1939,2
36047004600,1153,978200,104167,1939,3
36047004700,1710,1137800,108750,1987,3
36047004700,1710,1137800,108750,1987,3
36047004900,1914,978400,113750,1939,2
36047005000,1681,997100,100551,1939,2
36047005100,2285,647000,90815,1939,2
36047005201,520,881100,18906,1964,2
36047005202,1672,300700,70375,1951,2
36047005300,1608,897200,80625,1939,2
36047005300,1608,897200,80625,1939,2
36047005400,1452,491000,63203,1942,2
36047005601,1439,355900,60927,1954,2
36047005602,1307,418800,64479,1954,2
36047005800,1311,824200,45086,1939,2
36047005900,1886,856500,66328,1939,2
36047006000,1429,853700,71172,1939,3
36047006200,1470,860800,57935,1939,3
36047006300,2293,865000,108287,1939,2
36047006400,1286,814900,63674,1939,2
36047006500,2138,1352000,118152,1939,2
36047006600,1384,791200,60818,1939,2
36047006700,1994,1885400,142478,1939,2
36047006800,1341,813100,41923,1939,3
36047006900,2226,1087500,128989,1939,2
36047007000,1182,505700,45291,1962,2
36047007100,589,875000,31061,1944,3
36047007200,1321,687500,36378,1939,4
36047007400,1471,842200,40451,1939,4
36047007500,2281,1181100,136168,1939,2
36047007600,1294,761800,33869,1939,4
36047007700,2166,1065700,130288,1939,2
36047007800,1358,654600,45071,1939,4
36047008000,1559,718200,57955,1939,3
36047008200,1352,618200,40808,1939,3
36047008400,1266,784400,45096,1939,3
36047008500,395,,14229,1952,2
36047008600,,,,,
36047008800,1436,290600,54828,1939,3
36047009000,1343,285700,38782,1939,4
36047009200,1243,483700,41496,1939,3
36047009400,1319,764400,42361,1941,4
36047009600,1339,609200,36903,1939,3
36047009800,1303,797500,38197,1939,5
36047010000,1202,801600,34710,1939,4
36047010100,1228,692800,58033,1939,3
36047010200,1221,834700,48397,1939,4
36047010400,1188,855100,38136,1939,4
36047010600,1147,770800,35694,1939,4
36047010800,1028,779900,32059,1939,3
36047011000,1453,653400,53269,1939,4
36047011200,1127,577800,28307,1939,3
36047011400,1159,786200,44558,1939,3
36047011600,1150,924200,32180,1939,3
36047011700,1711,981700,79779,1939,2
36047011800,1232,809400,28586,1939,4
36047011900,1626,1062500,75682,1939,2
36047012000,1291,852300,50750,1939,4
36047012100,2046,959600,96875,1939,2
36047012200,1192,843100,37089,1939,4
36047012600,1370,790700,41786,1939,3
36047012700,824,677100,54455,1963,3
36047012801,1346,832200,50625,1940,3
36047012901,2191,1009300,92143,1939,2
36047012902,2167,1393800,105625,1939,2
36047013000,1292,568000,54886,1939,3
36047013100,2051,929300,125139,1939,2
36047013200,1279,850100,55801,1939,3
36047013300,2128,980200,134306,1939,2
36047013400,1382,738700,70625,1939,3
36047013500,2330,971900,112976,1939,2
36047013600,1491,771700,65708,1939,3
36047013700,1793,1553600,102165,1939,2
36047013800,1437,815300,53370,1939,3
36047013900,2012,1160700,108750,1939,3
36047014000,1232,789900,61250,1939,3
36047014100,1787,879500,86953,1939,2
36047014200,1425,790500,61168,1939,2
36047014300,1833,872800,93603,1939,3
36047014500,1586,719700,68936,1939,3
36047014700,1727,925500,81420,1939,3
36047014800,1519,859800,56216,1939,3
36047014900,1962,929600,103427,1939,3
36047015000,1375,730700,70938,1939,3
36047015100,2203,1212900,124470,1939,3
36047015200,1469,690700,87944,1951,3
36047015300,2128,1176100,146458,1939,2
36047015400,,,,,
36047015500,2126,1176900,129464,1939,2
36047015700,2129,834500,106583,1939,2
36047015900,2122,904200,127759,1939,2
36047016000,1341,555800,59872,1939,2
36047016100,2121,1081000,111333,1939,2
36047016200,1566,582700,71042,1951,2
36047016300,1652,840000,86997,1939,2
36047016400,3028,,97679,1995,3
36047016500,2419,1106100,148831,1939,2
36047016600,1614,851600,95625,1939,3
36047016700,2036,1119900,130109,1939,3
36047016800,1382,704300,82188,1954,3
36047016900,1933,878600,91351,1939,2
36047017000,1576,826900,71250,1939,3
36047017100,2071,937100,116339,1939,3
36047017200,1339,680000,65727,1949,3
36047017400,1279,635400,91250,1950,3
36047017500,,,,,
36047017600,1150,613600,53162,1949,3
36047017700,,,,,
36047017800,1363,633000,55972,1954,3
36047017900,1028,990400,55230,1976,3
36047018000,1295,867200,69875,1939,3
36047018100,1668,910200,81178,1939,2
36047018200,1336,744500,56853,1941,3
36047018300,2030,1092900,94055,1939,2
36047018400,1375,720500,75938,1939,3
36047018501,477,800000,22893,1948,3
36047018600,1432,786700,66125,1939,3
36047018700,2042,1145800,79659,1939,2
36047018800,1396,770200,61321,1939,3
36047019000,1184,732900,42770,1939,3
36047019100,2261,1016900,82755,1939,3
36047019200,1111,767600,39464,1939,4
36047019300,1108,289000,53750,1960,2
36047019400,1267,646700,39552,1939,3
36047019500,1710,471900,78984,1939,2
36047019600,1289,809000,40634,1939,3
36047019700,1815,812500,88567,1939,2
36047019800,1435,760900,60417,1939,3
36047019900,1686,802900,79097,1939,2
36047020000,1313,719400,55972,1939,3
36047020100,2003,1132500,95441,1939,2
36047020200,1301,705600,92292,1939,3
36047020300,2021,807000,102281,1942,3
36047020400,1629,744500,69922,1939,3
36047020500,1988,994600,80496,1939,2
36047020600,1378,786900,83594,1939,3
36047020700,1789,722000,99327,1939,2
36047020800,1183,766600,52500,1939,3
36047021000,1294,753600,45586,1939,3
36047021100,1223,605000,45909,1947,2
36047021200,1270,761200,38068,1939,4
36047021300,1290,,40967,1939,2
36047021400,1321,823900,56429,1939,4
36047021500,1307,667800,64798,1939,2
36047021600,1364,1027800,37679,1939,5
36047021700,1185,945800,58289,1939,2
36047021800,1434,872300,30694,1939,4
36047021900,1340,1047700,60203,1939,2
36047022000,1557,846200,31121,1939,4
36047022100,1188,668100,43011,1939,2
36047022200,1324,732100,29931,1939,4
36047022400,1483,794800,39839,1939,4
36047022600,1311,550000,44097,1939,4
36047022700,1438,971500,72762,1939,3
36047022800,1328,668600,31875,1939,4
36047022900,1629,619700,60625,1939,2
36047023000,1327,775000,36667,1939,4
36047023100,1510,859400,70903,1939,2
36047023200,1138,788600,33628,1939,4
36047023300,834,726400,33536,1957,2
36047023400,1394,854200,26045,1951,4
36047023500,1344,638300,40032,1952,3
36047023600,1414,1012500,24886,1944,4
36047023800,1418,990000,27871,1939,3
36047024000,1325,804300,29844,1943,3
36047024100,1812,567800,58438,1945,2
36047024200,1409,852200,52750,1939,4
36047024300,1075,921600,53702,1939,2
36047024400,1387,846600,48188,1939,4
36047024500,1190,695400,57738,1939,3
36047024600,1293,750000,46523,1939,3
36047024700,1279,1027800,45394,1939,2
36047024800,1253,726000,52083,1939,3
36047024900,1379,1018300,56786,1939,2
36047025000,1098,665700,47000,1942,3
36047025100,886,705200,34894,1939,2
36047025200,1255,635800,42367,1939,3
36047025300,1488,796600,47935,1939,2
36047025400,1128,608900,46016,1939,4
36047025500,520,,21653,1950,3
36047025600,1329,753500,47386,1939,3
36047025700,1374,653000,55536,1971,3
36047025800,1232,818100,37008,1939,3
36047025901,1382,687500,46528,1939,3
36047025902,350,,16406,1960,3
36047026000,1340,712600,51719,1939,3
36047026100,1444,590300,45228,1958,2
36047026200,1199,693700,57879,1939,3
36047026300,1116,659400,39150,1939,2
36047026400,1178,683500,44262,1939,3
36047026500,1145,606100,52295,1939,2
36047026600,1323,781300,49068,1939,3
36047026700,1211,836400,43068,1939,2
36047026800,1334,826200,55553,1939,3
36047026900,1270,997500,48990,1939,2
36047027000,1263,754900,51786,1939,3
36047027100,1350,670600,41726,1939,2
36047027200,1255,773900,50833,1939,3
36047027300,956,653100,37917,1939,2
36047027400,1288,723100,44602,1939,3
36047027500,1538,692800,60875,1939,3
36047027600,1238,752700,51940,1939,3
36047027700,1207,647600,40269,1939,3
36047027800,1350,678100,51739,1953,3
36047027900,1146,730400,58690,1939,3
36047028000,1195,595100,58657,1947,3
36047028100,753,491700,27101,1963,3
36047028200,1413,598800,58750,1954,3
36047028300,891,544100,33351,1961,3
36047028400,1204,753500,55743,1939,3
36047028501,2111,,92308,1939,4
36047028502,435,,16727,1955,2
36047028600,1257,603700,41658,1947,2
36047028700,670,638900,29101,1939,2
36047028800,1232,637700,48857,1939,3
36047028900,1016,645600,43030,1939,3
36047029000,1228,637400,52163,1939,3
36047029100,1244,676400,42886,1939,3
36047029200,1216,705500,45869,1939,3
36047029300,942,1017000,34327,1939,3
36047029400,1229,808700,54706,1950,3
36047029500,1367,828100,53523,1939,2
36047029600,1313,555800,52857,1944,3
36047029700,1509,894900,52594,1939,3
36047029800,1281,768200,50735,1939,3
36047029900,1244,536100,27321,1984,3
36047030000,1234,683100,45987,1952,3
36047030100,1285,605500,52756,1939,3
36047030200,1230,662400,60000,1952,3
36047030300,1092,508500,26953,1962,3
36047030400,1080,669300,39235,1960,3
36047030500,1651,468600,72439,1939,2
36047030600,1158,626600,46055,1961,3
36047030700,583,498600,20755,1950,2
36047030800,933,485000,45750,1965,3
36047030900,1028,517500,33083,1958,3
36047031100,1165,619600,46953,1939,3
36047031300,999,1001200,41527,1939,2
36047031400,959,382500,56556,1963,2
36047031500,1169,829100,57230,1939,2
36047031701,1253,1054100,52019,1939,2
36047031702,1457,662200,62672,1939,3
36047031900,1132,612800,48375,1954,3
36047032100,1315,644000,42025,1939,3
36047032300,1281,675000,63882,1939,3
36047032500,1276,,47559,1956,3
36047032600,716,424100,24205,1970,3
36047032700,1147,803000,44618,1939,2
36047032800,854,380500,54056,1976,3
36047032900,1265,617900,44559,1939,3
36047033000,538,333300,23438,1967,3
36047033100,1221,927700,37405,1939,3
36047033300,1274,752200,42972,1939,4
36047033500,1313,810300,52833,1939,3
36047033600,1427,515300,71806,1939,3
36047033700,1300,698100,54719,1939,3
36047033900,1021,701800,36570,1939,3
36047034000,466,,20833,1957,2
36047034100,1302,585500,50370,1939,2
36047034200,439,,17802,1973,2
36047034300,684,815300,24834,1951,2
36047034500,1236,595700,27127,1939,3
36047034700,964,613300,36641,1939,2
36047034800,1532,567000,56975,1973,4
36047034900,1226,328100,30463,1939,3
36047035000,1043,,34526,1963,2
36047035100,1065,691500,32407,1939,3
36047035200,286,,11444,1965,1
36047035300,1157,642000,39572,1939,2
36047035400,786,290500,50333,1965,2
36047035500,1257,560800,47239,1939,3
36047035601,898,,44395,1964,2
36047035602,1183,300600,35800,1965,2
36047035700,1082,580900,23092,1939,3
36047035900,1138,363000,30838,1939,2
36047036001,975,428600,19696,1949,2
36047036002,1065,165600,17143,1939,2
36047036100,1009,569400,27220,1949,2
36047036200,1149,489700,29608,1939,3
36047036300,1088,573400,28556,1975,2
36047036400,1291,524700,35313,1939,3
36047036501,938,469400,40845,1963,2
36047036502,1022,631100,33750,1941,3
36047036600,1256,400000,39808,1949,3
36047036700,1206,395000,41969,1939,3
36047036900,1138,505700,40612,1955,3
36047037000,1263,556200,61188,1950,3
36047037100,1308,493400,50504,1939,3
36047037300,1193,573300,29648,1939,3
36047037401,1260,499300,46083,1957,2
36047037402,1128,493800,31779,1951,2
36047037500,1406,589300,44231,1939,3
36047037700,1332,695300,40611,1939,3
36047037900,1180,507500,37020,1941,3
36047038100,663,805500,27260,1939,3
36047038200,505,1082400,18601,1956,3
36047038300,1394,586600,65746,1939,3
36047038500,1195,611700,47793,1939,3
36047038600,1234,603300,45556,1939,3
36047038700,1213,472600,40469,1939,3
36047038800,1285,578300,62463,1953,3
36047038900,1399,295600,48615,1957,3
36047039000,1336,552400,52250,1949,3
36047039100,1202,359100,36957,2000,3
36047039200,1446,713400,40724,1945,3
36047039300,1278,543400,50250,1939,3
36047039400,1405,908900,52841,1939,3
36047039500,1238,648900,42787,1939,3
36047039600,1291,924100,46042,1945,3
36047039700,1323,563900,36387,1939,3
36047039800,1284,615200,53417,1939,3
36047039900,1196,619200,35242,1939,3
36047040000,1286,629700,48750,1939,3
36047040100,1297,648100,44857,1939,3
36047040200,1206,684700,43828,1939,3
36047040300,1421,708300,26822,1939,3
36047040400,1187,691900,52328,1939,3
36047040500,1366,446200,51964,1939,3
36047040600,1249,783600,36719,1939,3
36047040700,,,,,
36047040700,,,,,
36047040800,1287,614100,56761,1939,3
36047040900,1404,457400,43981,1939,3
36047040900,1404,457400,43981,1939,3
36047041000,1172,625800,41786,1939,3
36047041100,1066,398100,35391,1953,3
36047041200,1196,656400,52083,1939,3
36047041300,1285,499100,39727,1939,3
36047041401,1390,493500,58750,1951,3
36047041402,1183,,38375,1939,3
36047041500,1426,617000,53442,1939,3
36047041600,1302,697500,44426,1939,4
36047041700,852,600900,27705,1970,3
36047041800,1247,782300,33542,1939,4
36047041900,1250,493100,39504,1971,3
36047042000,1440,927100,46500,1939,3
36047042100,1297,597300,39483,1939,3
36047042200,1444,791200,67500,1939,3
36047042300,1412,483800,47273,1939,3
36047042400,1195,635700,48750,1939,3
36047042500,1439,397100,49521,1964,3
36047042600,1169,603900,46316,1939,3
36047042700,1384,704200,47703,1939,3
36047042800,1280,589200,54306,1939,3
36047042900,1340,368500,44493,1939,3
36047043000,1244,543000,37350,1939,3
36047043100,1381,599100,50441,1939,3
36047043200,1195,603100,47734,1939,3
36047043300,1118,718800,37632,1939,3
36047043400,1189,602300,50347,1939,3
36047043500,1428,455400,40368,1939,4
36047043600,1193,897000,53723,1939,3
36047043700,1395,544600,44058,1939,3
36047043800,1349,765400,46250,1939,3
36047043900,1312,531500,38021,1939,3
36047043900,1312,531500,38021,1939,3
36047044000,1449,872800,51591,1942,3
36047044100,1289,523000,52676,1939,3
36047044100,1289,523000,52676,1939,3
36047044200,1421,950500,68095,1953,3
36047044300,1408,525600,58412,1939,3
36047044300,1408,525600,58412,1939,3
36047044400,1225,604200,47583,1949,3
36047044500,1350,545300,47255,1939,3
36047044500,1350,545300,47255,1939,3
36047044600,1273,760200,50844,1945,3
36047044700,1424,610600,50236,1939,3
36047044700,1424,610600,50236,1939,3
36047044800,1276,462100,55750,1955,3
36047044900,758,784500,28750,1954,3
36047044900,758,784500,28750,1954,3
36047045000,1773,856300,45938,1943,4
36047045200,1543,818200,73906,1946,3
36047045300,1716,,62632,1939,2
36047045400,1208,715600,42198,1939,3
36047045600,1290,1234000,36786,1939,3
