"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34013007100",1082,252100,55489,1955,3
"34013007200",1203,242500,69750,1945,3
"34013007300",1101,277500,48194,1946,3
"34013007400",1179,251500,47917,1971,3
"34013007501",872,306900,27438,1954,3
"34013007502",961,312900,40313,1947,3
"34013007600",1086,275600,39767,1948,3
"34013007700",1111,233300,49880,1942,3
"34013007800",1207,237300,45184,1948,3
"34013007900",1030,304300,41182,1941,3
"34013008000",1222,229500,44857,1939,2
"34013008100",721,,23667,1968,2
"34013008200",540,223700,18598,1982,3
"34013008700",975,199400,40179,1946,4
"34013008800",931,221500,36423,1961,3
"34013008900",1004,124800,25250,1968,3
"34013009000",1062,,37793,1967,2
"34013009100",1091,170200,36224,1946,3
"34013009200",927,235000,21462,1981,3
"34013009300",914,217000,34844,1950,3
"34013009400",957,285800,30176,1959,2
"34013009500",1034,326300,29913,1962,2
"34013009600",1132,253600,33902,1966,3
"34013009700",1063,210100,32048,1953,3
"34013009900",890,197000,27756,1966,2
"34013010000",1025,200000,60192,1956,2
"34013010100",1158,205400,53684,1950,3
"34013010200",715,223000,40585,1953,3
"34013010300",1059,216900,37366,1946,3
"34013010400",1031,257800,41188,1961,2
"34013010500",1010,217600,36368,1953,2
"34013010600",844,219700,25483,1956,3
"34013010700",975,194500,45054,1950,3
"34013010800",1283,213200,44263,1939,3
"34013010900",1008,248800,36477,1970,3
"34013011100",923,110000,28986,1956,2
"34013011200",1019,209100,31774,1970,2
"34013011300",1022,,36206,1965,2
"34013011400",1266,179700,49654,1958,2
"34013011500",1079,171400,44226,1948,3
"34013011600",1052,215300,37347,1944,3
"34013011700",947,203400,37278,1956,3
"34013011800",1079,201900,60057,1949,3
"34013011900",960,127100,37188,1960,2
"34013012000",1096,174300,49676,1958,3
"34013012100",1079,174400,42331,1952,3
"34013012200",974,223200,36984,1949,3
"34013012300",895,185900,39242,1949,3
"34013012400",587,190900,28603,1962,2
"34013012500",953,206400,38491,1948,3
"34013012600",1156,166000,31042,1943,3
"34013012700",1132,172500,50000,1945,3
"34013012800",1066,165900,42284,1958,3
"34013012900",1015,167500,31983,1954,3
"34013013000",918,,50750,1968,2
"34013013100",1066,179700,32750,1952,3
"34013013200",753,157600,26684,1960,2
"34013013300",992,158200,27331,1954,3
"34013013400",1265,386600,104728,1939,3
"34013013500",1440,403800,98667,1946,3
"34013013600",1453,354000,90466,1964,3
"34013013700",1136,341900,61656,1948,2
"34013013800",1088,362800,84056,1949,3
"34013013900",1326,336500,86429,1951,3
"34013014000",1256,279500,82833,1959,3
"34013014100",1329,281800,71734,1953,3
"34013014200",1291,300000,87361,1949,3
"34013014300",1175,273200,60137,1947,3
"34013014400",1220,217200,52656,1964,2
"34013014500",1221,266700,58704,1953,3
"34013014600",1291,279900,77888,1945,3
"34013014700",1135,229100,50018,1957,2
"34013014800",2036,376500,113056,1948,3
"34013014900",2736,351500,128105,1945,3
"34013015000",1265,346700,81417,1951,3
"34013015100",1282,290000,75135,1943,3
"34013015200",1284,288200,63266,1951,3
"34013015300",1236,312900,65781,1957,2
"34013015400",1272,314000,58802,1939,2
"34013015500",1433,291600,77115,1939,3
"34013015600",1192,273600,68986,1949,2
"34013015700",1231,243400,66148,1939,3
"34013015800",1162,315300,62182,1939,3
"34013015900",1292,256400,63061,1941,3
"34013016000",1560,593300,170839,1939,3
"34013016100",1434,699000,183750,1939,3
"34013016200",2292,707100,244375,1939,3
"34013016300",1613,680800,157232,1939,3
"34013016400",1457,635300,127500,1939,3
"34013016500",1260,649400,153636,1939,3
"34013016600",1602,446700,89118,1939,3
"34013016700",1233,307100,59167,1976,2
"34013016800",1354,302300,65484,1945,2
"34013016900",1672,889400,127250,1939,3
"34013017000",1578,503400,88750,1939,2
"34013017100",1264,311200,39750,1946,3
"34013017200",1363,370300,82174,1942,3
"34013017301",2140,382800,122220,1967,3
"34013017302",1475,368700,96776,1974,2
"34013017400",2010,340000,133500,1962,3
"34013017500",1569,340100,75690,1963,2
"34013017600",1160,270800,50224,1947,3
"34013017700",1315,256700,49485,1946,3
"34013017800",1191,273300,48000,1953,3
"34013017900",1701,378700,122941,1939,3
"34013018000",2144,425700,117321,1955,3
"34013018100",1154,172100,41953,1958,3
"34013018200",938,176000,28942,1966,3
"34013018300",1085,142800,39873,1953,3
"34013018400",1098,219600,27257,1963,2
"34013018600",1100,228700,34773,1958,3
"34013018700",929,188800,27433,1962,2
"34013018800",1037,287300,52411,1954,3
"34013018900",1100,210800,38810,1939,3
"34013019000",2625,681900,178750,1942,3
"34013019100",1599,485300,117132,1939,3
"34013019200",1284,425200,72000,1943,3
"34013019300",1823,437900,85184,1953,2
"34013019400",2875,644700,201172,1939,3
"34013019500",3026,556500,185000,1939,3
"34013019600",1144,351200,91534,1944,3
"34013019700",1479,282200,70065,1945,3
"34013019800",2063,500700,148667,1939,3
"34013019900",1000,698300,183068,1939,3
"34013020000",3501,1534600,250001,1952,3
"34013020100",2188,1418300,250001,1960,3
"34013020200",1743,726300,146130,1939,3
"34013020300",1548,826100,98750,1952,3
"34013020400",3026,576100,171125,1962,3
"34013020500",2782,630000,161786,1960,3
"34013020600",1449,629900,135052,1960,3
"34013020700",2513,466400,130150,1954,3
"34013020800",3205,597400,142500,1966,3
"34013020901",2071,832400,174432,1944,3
"34013020902",2066,477200,96250,1970,2
"34013021000",1356,461500,110260,1955,3
"34013021100",1492,355200,87593,1959,3
"34013021200",1451,525800,115066,1950,3
"34013021300",1332,448500,126300,1958,3
"34013021400",1407,440600,101509,1958,2
"34013021601",1854,472100,100977,1965,3
"34013021602",,713500,188897,1962,3
"34013021701",1332,413900,84741,1956,2
"34013021702",1323,443500,69375,1959,2
"34013021801",,499100,144327,1960,3
"34013021802",2146,460800,86406,1964,3
"34013021803",1624,468400,95208,1955,3
"34013022700",502,266700,13915,1978,3
"34013022800",549,,20507,1990,3
"34013022900",903,174000,40332,1971,2
"34013023000",473,180100,17071,1987,3
"34013023100",930,263500,29628,1996,3
"34013023200",880,216100,28472,1972,3
"34013980100",,,,,
"34013980200",,,,,
"34017000100",1298,293300,65179,1970,3
"34017000200",1195,300800,52979,1971,3
"34017000300",1125,371300,49387,1944,3
"34017000400",1206,347800,54191,1961,3
"34017000500",1209,295700,51761,1946,3
"34017000600",1041,310300,55833,1939,3
"34017000700",1137,285000,60758,1942,3
"34017000800",1396,376800,62826,1958,3
"34017000902",1101,303200,45882,1965,2
"34017001000",1199,288500,64875,1939,3
"34017001100",1313,265400,66781,1939,3
"34017001201",1101,342700,66111,1939,3
"34017001202",952,278500,48063,1939,3
"34017001300",1341,292500,60078,1949,3
"34017001400",1175,317700,60313,1939,3
"34017001701",1212,351000,46221,1941,3
"34017001800",1022,304300,40259,1939,3
"34017001900",1135,375900,54688,1939,2
"34017002000",1058,366400,43152,1939,2
"34017002200",1428,555600,84063,1939,2
"34017002300",1575,506000,104830,1939,2
"34017002400",1746,490600,110625,1939,2
"34017002700",1076,265200,40278,1939,3
"34017002800",1102,293800,60746,1939,3
"34017002900",1069,275900,49528,1939,3
"34017003000",972,327700,36625,1939,2
"34017003100",1205,342300,45733,1939,2
"34017003500",1461,538700,81705,1939,2
"34017004000",1214,249400,62031,1953,3
"34017004101",993,311000,52399,1939,3
"34017004102",1101,308200,35996,1950,3
"34017004200",937,311200,37750,1967,3
